[[ 0.          8.91224925  0.          0.        ]
 [ 0.          0.         10.04357796  0.        ]
 [ 0.          0.          0.         10.95032678]
 [ 0.          0.          0.          0.        ]]
[[ 0.          9.62802602  0.          0.        ]
 [ 0.          0.         10.64647499  0.        ]
 [ 0.          0.          0.          8.56617982]
 [ 0.          0.          0.          0.        ]]
[[ 0.         10.26427738  0.          0.        ]
 [ 0.          0.          9.1616932   0.        ]
 [ 0.          0.          0.          9.14820801]
 [ 0.          0.          0.          0.        ]]
[[ 0.          9.41744891  0.          0.        ]
 [ 0.          0.          9.12252107  0.        ]
 [ 0.          0.          0.         12.25115394]
 [ 0.          0.          0.          0.        ]]
[[ 0.          9.13610131  0.          0.        ]
 [ 0.          0.         22.04585568  0.        ]
 [ 0.          0.          0.         15.29694198]
 [ 0.          0.          0.          0.        ]]
[[ 0.         31.98981077  0.          0.        ]
 [ 0.          0.         39.13639087  0.        ]
 [ 0.          0.          0.         25.08086587]
 [ 0.          0.          0.          0.        ]]
[[ 0.         46.40936204  0.          0.        ]
 [ 0.          0.         53.62052347  0.        ]
 [ 0.          0.          0.         25.5300008 ]
 [ 0.          0.          0.          0.        ]]
[[ 0.         57.65674654  0.          0.        ]
 [ 0.          0.         55.8762092   0.        ]
 [ 0.          0.          0.         26.4961172 ]
 [ 0.          0.          0.          0.        ]]
[[ 0.         54.74207777  0.          0.        ]
 [ 0.          0.         58.10504139  0.        ]
 [ 0.          0.          0.         25.32583769]
 [ 0.          0.          0.          0.        ]]
[[ 0.         59.73085956  0.          0.        ]
 [ 0.          0.         42.13616752  0.        ]
 [ 0.          0.          0.         25.34381854]
 [ 0.          0.          0.          0.        ]]
[[ 0.         58.70315776  0.          0.        ]
 [ 0.          0.         28.11122411  0.        ]
 [ 0.          0.          0.         17.0279513 ]
 [ 0.          0.          0.          0.        ]]
[[ 0.         43.27702019  0.          0.        ]
 [ 0.          0.         19.98120505  0.        ]
 [ 0.          0.          0.         14.08207223]
 [ 0.          0.          0.          0.        ]]
[[ 0.         29.62378483  0.          0.        ]
 [ 0.          0.         12.55725548  0.        ]
 [ 0.          0.          0.         14.02113608]
 [ 0.          0.          0.          0.        ]]
[[ 0.         19.89764992  0.          0.        ]
 [ 0.          0.         10.13306151  0.        ]
 [ 0.          0.          0.         13.8044223 ]
 [ 0.          0.          0.          0.        ]]
[[ 0.         12.98751809  0.          0.        ]
 [ 0.          0.         12.67330274  0.        ]
 [ 0.          0.          0.          8.76660109]
 [ 0.          0.          0.          0.        ]]
