Date, Freshness 
2019-06-09,0.38
2019-06-10,0.59
2019-06-11,0.83
2019-06-12,0.81
2019-06-13,0.65
2019-06-14,0.75
2019-06-15,0.79
2019-06-16,0.80
2019-06-17,0.72
2019-06-18,0.76
2019-06-19,0.75
2019-06-20,0.83
2019-06-21,0.82
2019-06-22,0.60
2019-06-23,0.67
2019-06-24,0.56
2019-06-25,0.57
2019-06-26,0.59
2019-06-27,0.55
2019-06-28,0.50
2019-06-29,0.39
2019-06-30,0.25
2019-07-01,0.37
2019-07-02,0.43
2019-07-03,0.48
2019-07-04,0.00
2019-07-05,0.26
2019-07-06,0.00
2019-07-07,0.37
2019-07-08,0.56
2019-07-09,0.57
2019-07-10,0.00
2019-07-11,0.25
2019-07-12,0.29
2019-07-13,0.29
2019-07-14,0.43
2019-07-15,0.63
2019-07-16,0.71
2019-07-17,0.00
2019-07-18,0.26
2019-07-19,0.25
2019-07-20,0.25
2019-07-21,0.00
2019-07-22,0.00
2019-07-23,0.25
2019-07-24,0.25
2019-07-25,0.28
2019-07-26,0.25
2019-07-27,0.45
2019-07-28,0.00
2019-07-29,0.25
2019-07-30,0.35
2019-07-31,0.46
2019-08-01,0.44
2019-08-02,0.37
2019-08-03,0.44
2019-08-04,0.58
2019-08-05,0.57
2019-08-06,0.51
2019-08-07,0.69
2019-08-08,0.77
2019-08-09,0.85
2019-08-10,0.62
2019-08-11,0.67
2019-08-12,0.00
2019-08-13,0.37
2019-08-14,0.42
2019-08-15,0.53
2019-08-16,0.60
2019-08-17,0.00
2019-08-18,0.41
2019-08-19,0.00
2019-08-20,0.37
2019-08-21,0.49
2019-08-22,0.50
2019-08-23,0.25
2019-08-24,0.25
2019-08-25,0.30
2019-08-26,0.32
2019-08-27,0.35
2019-08-28,0.63
2019-08-29,0.69
2019-08-30,0.79
2019-08-31,0.50
2019-09-01,0.49
2019-09-02,0.63
2019-09-03,0.70
2019-09-04,0.60
2019-09-05,0.50
2019-09-06,0.26
2019-09-07,0.25
2019-09-08,0.25
2019-09-09,0.34
2019-09-10,0.49
2019-09-11,0.44
2019-09-12,0.45
2019-09-13,0.54
2019-09-14,0.72
2019-09-15,0.74
2019-09-16,0.64
2019-09-17,0.69
2019-09-18,0.70
2019-09-19,0.77
2019-09-20,0.83
2019-09-21,0.67
2019-09-22,0.79
2019-09-23,0.80
2019-09-24,0.63
2019-09-25,0.64
2019-09-26,0.59
2019-09-27,0.61
2019-09-28,0.59
2019-09-29,0.62
2019-09-30,0.50
2019-10-01,0.41
2019-10-02,0.44
2019-10-03,0.55
2019-10-04,0.70
2019-10-05,0.00
2019-10-06,0.45
2019-10-07,0.50
2019-10-08,0.50
2019-10-09,0.00
2019-10-10,0.28
2019-10-11,0.00
2019-10-12,0.35
2019-10-13,0.40
2019-10-14,0.53
2019-10-15,0.66
2019-10-16,0.50
2019-10-17,0.44
2019-10-18,0.38
2019-10-19,0.42
2019-10-20,0.50
2019-10-21,0.45
2019-10-22,0.48
2019-10-23,0.59
2019-10-24,0.00
2019-10-25,0.33
2019-10-26,0.45
2019-10-27,0.77
2019-10-28,0.67
2019-10-29,0.63
2019-10-30,0.60
2019-10-31,0.51
