Date, Waste 
2018-08-23,3.68
2018-08-24,14.59
2018-08-25,29.28
2018-08-26,21.72
2018-08-27,4.24
2018-08-28,2.70
2018-08-29,3.46
2018-08-30,0.00
2018-08-31,0.00
2018-09-01,1.39
2018-09-02,2.59
2018-09-03,3.25
2018-09-04,23.33
2018-09-05,7.66
2018-09-06,13.16
2018-09-07,12.34
2018-09-08,0.00
2018-09-09,8.07
2018-09-10,6.76
2018-09-11,5.26
2018-09-12,10.26
2018-09-13,5.81
2018-09-14,12.57
2018-09-15,0.17
2018-09-16,8.45
2018-09-17,13.39
2018-09-18,12.09
2018-09-19,8.29
2018-09-20,4.30
2018-09-21,0.00
2018-09-22,8.13
2018-09-23,3.70
2018-09-24,0.00
2018-09-25,18.52
2018-09-26,4.46
2018-09-27,7.95
2018-09-28,5.30
2018-09-29,3.48
2018-09-30,12.26
2018-10-01,11.17
2018-10-02,17.21
2018-10-03,0.00
2018-10-04,0.00
2018-10-05,3.57
2018-10-06,19.69
2018-10-07,11.25
2018-10-08,8.02
2018-10-09,6.75
2018-10-10,15.32
2018-10-11,1.97
2018-10-12,1.36
2018-10-13,10.08
2018-10-14,9.87
2018-10-15,12.83
2018-10-16,11.86
2018-10-17,0.99
2018-10-18,4.92
2018-10-19,10.38
2018-10-20,16.07
2018-10-21,15.60
2018-10-22,9.78
2018-10-23,7.05
2018-10-24,5.64
2018-10-25,8.93
2018-10-26,2.61
2018-10-27,3.65
2018-10-28,1.06
2018-10-29,2.50
2018-10-30,5.19
2018-10-31,4.47
2018-11-01,4.79
2018-11-02,0.00
2018-11-03,3.41
2018-11-04,9.16
2018-11-05,9.65
2018-11-06,0.00
2018-11-07,14.48
2018-11-08,4.03
2018-11-09,20.85
2018-11-10,7.18
2018-11-11,17.75
2018-11-12,0.00
2018-11-13,0.12
2018-11-14,3.03
2018-11-15,3.62
2018-11-16,13.71
2018-11-17,16.58
2018-11-18,7.52
2018-11-19,8.06
2018-11-20,15.24
2018-11-21,14.81
2018-11-22,5.55
2018-11-23,13.53
2018-11-24,14.00
2018-11-25,7.06
2018-11-26,3.87
2018-11-27,7.82
2018-11-28,0.00
2018-11-29,5.99
2018-11-30,14.16
2018-12-01,4.12
2018-12-02,3.83
2018-12-03,0.00
2018-12-04,6.58
2018-12-05,0.00
2018-12-06,9.90
2018-12-07,10.73
2018-12-08,10.67
2018-12-09,14.30
2018-12-10,23.25
2018-12-11,7.81
2018-12-12,9.47
2018-12-13,6.95
2018-12-14,5.27
2018-12-15,4.30
2018-12-16,0.34
2018-12-17,5.62
2018-12-18,1.89
2018-12-19,2.30
2018-12-20,12.57
2018-12-21,4.45
2018-12-22,28.68
2018-12-23,23.51
2018-12-24,6.71
2018-12-25,4.87
2018-12-26,1.92
2018-12-27,3.49
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,0.28
2018-12-31,0.00
2019-01-01,9.84
2019-01-02,8.51
2019-01-03,16.00
2019-01-04,15.46
