Date, Waste 
2018-08-23,0.00
2018-08-24,0.00
2018-08-25,0.00
2018-08-26,5.88
2018-08-27,0.00
2018-08-28,22.66
2018-08-29,17.23
2018-08-30,11.45
2018-08-31,19.63
2018-09-01,8.30
2018-09-02,0.00
2018-09-03,0.00
2018-09-04,10.57
2018-09-05,0.00
2018-09-06,0.00
2018-09-07,0.00
2018-09-08,0.00
2018-09-09,15.78
2018-09-10,22.95
2018-09-11,8.18
2018-09-12,24.53
2018-09-13,3.57
2018-09-14,0.78
2018-09-15,0.00
2018-09-16,0.00
2018-09-17,0.00
2018-09-18,1.47
2018-09-19,4.72
2018-09-20,0.44
2018-09-21,13.96
2018-09-22,31.18
2018-09-23,10.17
2018-09-24,7.65
2018-09-25,2.88
2018-09-26,1.08
2018-09-27,0.00
2018-09-28,0.00
2018-09-29,0.00
2018-09-30,0.00
2018-10-01,0.00
2018-10-02,13.82
2018-10-03,19.19
2018-10-04,8.57
2018-10-05,13.02
2018-10-06,21.56
2018-10-07,10.71
2018-10-08,1.13
2018-10-09,0.00
2018-10-10,1.05
2018-10-11,2.19
2018-10-12,0.00
2018-10-13,0.00
2018-10-14,6.05
2018-10-15,30.10
2018-10-16,23.49
2018-10-17,8.25
2018-10-18,4.75
2018-10-19,4.20
2018-10-20,6.58
2018-10-21,8.47
2018-10-22,2.17
2018-10-23,4.19
2018-10-24,0.77
2018-10-25,10.13
2018-10-26,0.27
2018-10-27,14.76
2018-10-28,10.26
2018-10-29,8.09
2018-10-30,4.12
2018-10-31,0.00
2018-11-01,0.00
2018-11-02,0.00
2018-11-03,0.00
2018-11-04,0.00
2018-11-05,0.18
2018-11-06,0.00
2018-11-07,9.12
2018-11-08,26.85
2018-11-09,23.98
2018-11-10,9.06
2018-11-11,13.95
2018-11-12,3.24
2018-11-13,0.00
2018-11-14,0.00
2018-11-15,0.00
2018-11-16,2.27
2018-11-17,7.53
2018-11-18,3.96
2018-11-19,0.00
2018-11-20,22.36
2018-11-21,23.66
2018-11-22,14.49
2018-11-23,20.66
2018-11-24,11.14
2018-11-25,4.59
2018-11-26,3.11
2018-11-27,4.21
2018-11-28,0.00
2018-11-29,0.00
2018-11-30,0.00
2018-12-01,0.00
2018-12-02,0.00
2018-12-03,8.74
2018-12-04,13.56
2018-12-05,3.81
2018-12-06,12.87
2018-12-07,8.72
2018-12-08,14.39
2018-12-09,11.79
2018-12-10,11.58
2018-12-11,3.57
2018-12-12,1.02
2018-12-13,6.18
2018-12-14,7.98
2018-12-15,8.15
2018-12-16,7.01
2018-12-17,6.56
2018-12-18,1.82
2018-12-19,2.90
2018-12-20,12.30
2018-12-21,0.15
2018-12-22,14.09
2018-12-23,17.53
2018-12-24,10.65
2018-12-25,9.85
2018-12-26,2.37
2018-12-27,3.90
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,2.27
2018-12-31,0.00
2019-01-01,7.36
2019-01-02,1.29
2019-01-03,2.45
2019-01-04,22.11
2019-01-05,21.90
2019-01-06,4.91
2019-01-07,12.08
2019-01-08,0.00
2019-01-09,0.00
2019-01-10,0.00
2019-01-11,0.00
2019-01-12,0.00
2019-01-13,0.00
2019-01-14,0.00
2019-01-15,10.61
2019-01-16,22.79
2019-01-17,5.54
2019-01-18,12.54
2019-01-19,10.35
2019-01-20,9.23
2019-01-21,0.51
2019-01-22,1.98
2019-01-23,0.00
2019-01-24,0.00
2019-01-25,0.00
2019-01-26,0.56
2019-01-27,5.83
2019-01-28,9.97
2019-01-29,4.30
2019-01-30,1.00
2019-01-31,9.13
2019-02-01,2.71
2019-02-02,0.00
2019-02-03,0.21
2019-02-04,0.17
2019-02-05,0.00
