Date, Waste 
2018-08-23,0.00
2018-08-24,0.00
2018-08-25,0.00
2018-08-26,3.89
2018-08-27,0.00
2018-08-28,0.00
2018-08-29,3.80
2018-08-30,12.17
2018-08-31,17.13
2018-09-01,5.53
2018-09-02,4.52
2018-09-03,3.00
2018-09-04,11.16
2018-09-05,0.00
2018-09-06,0.00
2018-09-07,0.00
2018-09-08,0.00
2018-09-09,0.00
2018-09-10,0.00
2018-09-11,13.98
2018-09-12,23.76
2018-09-13,1.09
2018-09-14,3.73
2018-09-15,2.23
2018-09-16,0.00
2018-09-17,0.71
2018-09-18,3.73
2018-09-19,2.65
2018-09-20,0.00
2018-09-21,0.00
2018-09-22,7.02
2018-09-23,10.78
2018-09-24,8.73
2018-09-25,8.83
2018-09-26,3.19
2018-09-27,0.00
2018-09-28,0.00
2018-09-29,0.00
2018-09-30,0.00
2018-10-01,0.00
2018-10-02,9.46
2018-10-03,0.00
2018-10-04,7.09
2018-10-05,14.84
2018-10-06,19.55
2018-10-07,6.07
2018-10-08,2.29
2018-10-09,1.25
2018-10-10,0.39
2018-10-11,0.00
2018-10-12,0.00
2018-10-13,0.00
2018-10-14,3.57
2018-10-15,10.48
2018-10-16,21.81
2018-10-17,9.60
2018-10-18,0.00
2018-10-19,3.60
2018-10-20,9.91
2018-10-21,6.69
2018-10-22,1.29
2018-10-23,3.47
2018-10-24,0.50
2018-10-25,8.39
2018-10-26,0.00
2018-10-27,0.00
2018-10-28,10.96
2018-10-29,7.51
2018-10-30,4.45
2018-10-31,0.73
2018-11-01,0.00
2018-11-02,0.00
2018-11-03,0.00
2018-11-04,0.00
2018-11-05,0.00
2018-11-06,0.00
2018-11-07,0.16
2018-11-08,6.71
2018-11-09,24.18
2018-11-10,10.53
2018-11-11,15.53
2018-11-12,3.39
2018-11-13,0.56
2018-11-14,0.00
2018-11-15,0.00
2018-11-16,2.97
2018-11-17,6.99
2018-11-18,0.00
2018-11-19,0.00
2018-11-20,4.91
2018-11-21,16.15
2018-11-22,23.19
2018-11-23,14.66
2018-11-24,13.36
2018-11-25,1.76
2018-11-26,5.75
2018-11-27,4.41
2018-11-28,0.00
2018-11-29,0.00
2018-11-30,0.00
2018-12-01,0.00
2018-12-02,0.00
2018-12-03,0.00
2018-12-04,2.62
2018-12-05,6.77
2018-12-06,13.13
2018-12-07,8.74
2018-12-08,10.95
2018-12-09,18.07
2018-12-10,13.43
2018-12-11,0.00
2018-12-12,0.00
2018-12-13,0.00
2018-12-14,0.00
2018-12-15,0.53
2018-12-16,2.24
2018-12-17,8.85
2018-12-18,0.76
2018-12-19,4.60
2018-12-20,12.27
2018-12-21,8.44
2018-12-22,15.98
2018-12-23,4.40
2018-12-24,0.00
2018-12-25,3.03
2018-12-26,0.00
2018-12-27,5.24
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,0.00
2018-12-31,1.39
2019-01-01,10.63
2019-01-02,2.90
2019-01-03,2.97
2019-01-04,7.50
2019-01-05,8.79
2019-01-06,2.75
2019-01-07,9.03
2019-01-08,0.00
2019-01-09,0.00
2019-01-10,0.00
2019-01-11,0.00
2019-01-12,0.00
2019-01-13,2.52
2019-01-14,1.37
2019-01-15,9.68
2019-01-16,10.37
2019-01-17,1.63
2019-01-18,9.02
2019-01-19,2.62
2019-01-20,7.48
2019-01-21,5.54
2019-01-22,2.73
2019-01-23,3.30
2019-01-24,0.00
2019-01-25,0.00
2019-01-26,0.00
2019-01-27,0.00
2019-01-28,2.87
2019-01-29,0.00
2019-01-30,0.00
2019-01-31,0.00
2019-02-01,0.00
2019-02-02,4.72
2019-02-03,6.59
2019-02-04,0.00
2019-02-05,0.00
