Date, Waste 
2018-08-23,0.00
2018-08-24,0.00
2018-08-25,3.84
2018-08-26,11.20
2018-08-27,0.00
2018-08-28,0.94
2018-08-29,3.19
2018-08-30,0.00
2018-08-31,0.00
2018-09-01,0.00
2018-09-02,0.00
2018-09-03,0.00
2018-09-04,3.48
2018-09-05,0.00
2018-09-06,0.00
2018-09-07,0.00
2018-09-08,0.00
2018-09-09,5.70
2018-09-10,6.51
2018-09-11,8.55
2018-09-12,12.34
2018-09-13,0.42
2018-09-14,0.00
2018-09-15,0.00
2018-09-16,0.00
2018-09-17,0.00
2018-09-18,0.00
2018-09-19,3.88
2018-09-20,0.00
2018-09-21,1.67
2018-09-22,10.65
2018-09-23,2.57
2018-09-24,0.00
2018-09-25,5.49
2018-09-26,7.67
2018-09-27,0.00
2018-09-28,0.00
2018-09-29,0.00
2018-09-30,0.00
2018-10-01,0.00
2018-10-02,13.98
2018-10-03,0.00
2018-10-04,0.15
2018-10-05,2.63
2018-10-06,11.98
2018-10-07,13.96
2018-10-08,1.37
2018-10-09,0.77
2018-10-10,5.33
2018-10-11,0.00
2018-10-12,0.00
2018-10-13,0.00
2018-10-14,3.30
2018-10-15,11.72
2018-10-16,12.19
2018-10-17,0.17
2018-10-18,4.48
2018-10-19,0.38
2018-10-20,8.92
2018-10-21,10.43
2018-10-22,4.11
2018-10-23,5.97
2018-10-24,0.05
2018-10-25,5.22
2018-10-26,0.34
2018-10-27,0.00
2018-10-28,0.00
2018-10-29,0.00
2018-10-30,0.00
2018-10-31,0.00
2018-11-01,0.00
2018-11-02,0.00
2018-11-03,0.00
2018-11-04,0.00
2018-11-05,0.00
2018-11-06,2.41
2018-11-07,6.29
2018-11-08,9.05
2018-11-09,16.36
2018-11-10,1.17
2018-11-11,14.60
2018-11-12,0.00
2018-11-13,0.00
2018-11-14,0.00
2018-11-15,0.00
2018-11-16,0.00
2018-11-17,15.90
2018-11-18,6.45
2018-11-19,0.00
2018-11-20,11.84
2018-11-21,8.31
2018-11-22,5.08
2018-11-23,16.69
2018-11-24,12.50
2018-11-25,1.09
2018-11-26,0.00
2018-11-27,0.00
2018-11-28,0.00
2018-11-29,1.10
2018-11-30,5.18
2018-12-01,0.00
2018-12-02,0.00
2018-12-03,0.00
2018-12-04,6.09
2018-12-05,0.00
2018-12-06,3.20
2018-12-07,7.64
2018-12-08,10.11
2018-12-09,16.22
2018-12-10,12.58
2018-12-11,7.59
2018-12-12,0.00
2018-12-13,0.00
2018-12-14,0.00
2018-12-15,1.26
2018-12-16,3.97
2018-12-17,0.04
2018-12-18,0.00
2018-12-19,3.28
2018-12-20,17.42
2018-12-21,3.35
2018-12-22,16.86
2018-12-23,12.25
2018-12-24,2.08
2018-12-25,0.00
2018-12-26,0.00
2018-12-27,0.00
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,0.00
2018-12-31,0.00
2019-01-01,13.32
2019-01-02,3.36
2019-01-03,0.00
2019-01-04,10.38
2019-01-05,9.27
2019-01-06,5.97
2019-01-07,4.59
2019-01-08,0.00
2019-01-09,0.00
2019-01-10,0.00
2019-01-11,0.00
2019-01-12,0.00
2019-01-13,0.00
2019-01-14,2.36
2019-01-15,9.65
2019-01-16,10.89
2019-01-17,1.43
2019-01-18,11.57
2019-01-19,2.54
2019-01-20,4.44
2019-01-21,10.85
2019-01-22,2.77
2019-01-23,0.00
2019-01-24,0.00
2019-01-25,0.00
2019-01-26,0.00
2019-01-27,0.00
2019-01-28,3.52
2019-01-29,0.00
2019-01-30,0.00
2019-01-31,0.00
2019-02-01,0.00
2019-02-02,0.00
2019-02-03,1.63
2019-02-04,2.58
2019-02-05,0.00
