Date, Waste 
2018-08-23,4.44
2018-08-24,14.70
2018-08-25,20.25
2018-08-26,10.37
2018-08-27,0.34
2018-08-28,5.18
2018-08-29,6.29
2018-08-30,2.33
2018-08-31,4.12
2018-09-01,6.99
2018-09-02,6.78
2018-09-03,8.34
2018-09-04,27.34
2018-09-05,0.00
2018-09-06,7.42
2018-09-07,0.00
2018-09-08,1.27
2018-09-09,11.46
2018-09-10,3.64
2018-09-11,10.04
2018-09-12,27.38
2018-09-13,10.03
2018-09-14,8.20
2018-09-15,0.00
2018-09-16,6.26
2018-09-17,4.24
2018-09-18,5.55
2018-09-19,7.41
2018-09-20,3.32
2018-09-21,0.81
2018-09-22,19.92
2018-09-23,10.15
2018-09-24,7.25
2018-09-25,10.07
2018-09-26,6.15
2018-09-27,1.42
2018-09-28,0.00
2018-09-29,2.32
2018-09-30,7.59
2018-10-01,10.12
2018-10-02,18.62
2018-10-03,4.35
2018-10-04,10.49
2018-10-05,13.17
2018-10-06,14.15
2018-10-07,8.87
2018-10-08,1.07
2018-10-09,2.71
2018-10-10,9.94
2018-10-11,2.11
2018-10-12,1.93
2018-10-13,15.55
2018-10-14,11.27
2018-10-15,18.79
2018-10-16,19.62
2018-10-17,1.39
2018-10-18,1.32
2018-10-19,4.15
2018-10-20,12.80
2018-10-21,11.10
2018-10-22,3.97
2018-10-23,10.76
2018-10-24,9.38
2018-10-25,14.49
2018-10-26,9.65
2018-10-27,4.23
2018-10-28,2.39
2018-10-29,0.32
2018-10-30,1.00
2018-10-31,1.54
2018-11-01,0.00
2018-11-02,0.00
2018-11-03,1.34
2018-11-04,12.86
2018-11-05,15.96
2018-11-06,4.94
2018-11-07,13.42
2018-11-08,8.86
2018-11-09,20.72
2018-11-10,0.00
2018-11-11,15.36
2018-11-12,0.00
2018-11-13,0.00
2018-11-14,0.00
2018-11-15,2.80
2018-11-16,15.55
2018-11-17,26.12
2018-11-18,12.81
2018-11-19,8.81
2018-11-20,12.28
2018-11-21,10.04
2018-11-22,2.23
2018-11-23,13.49
2018-11-24,12.89
2018-11-25,7.57
2018-11-26,4.03
2018-11-27,7.85
2018-11-28,2.75
2018-11-29,16.24
2018-11-30,6.86
2018-12-01,5.81
2018-12-02,4.37
2018-12-03,0.00
2018-12-04,5.69
2018-12-05,0.00
2018-12-06,6.54
2018-12-07,9.94
2018-12-08,14.41
2018-12-09,14.19
2018-12-10,27.33
2018-12-11,12.93
2018-12-12,8.93
2018-12-13,4.65
2018-12-14,1.48
2018-12-15,4.34
2018-12-16,3.68
2018-12-17,4.25
2018-12-18,0.00
2018-12-19,2.45
2018-12-20,15.76
2018-12-21,6.09
2018-12-22,33.08
2018-12-23,19.00
2018-12-24,4.49
2018-12-25,6.75
2018-12-26,0.29
2018-12-27,4.67
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,0.00
2018-12-31,0.00
2019-01-01,11.43
2019-01-02,7.07
2019-01-03,20.40
2019-01-04,11.85
2019-01-05,15.91
2019-01-06,5.45
2019-01-07,10.23
2019-01-08,0.00
2019-01-09,0.00
2019-01-10,0.00
2019-01-11,0.00
2019-01-12,0.00
2019-01-13,0.00
2019-01-14,6.84
2019-01-15,31.31
2019-01-16,9.31
2019-01-17,4.81
2019-01-18,14.74
2019-01-19,9.50
2019-01-20,4.55
2019-01-21,1.34
2019-01-22,7.92
2019-01-23,0.00
2019-01-24,0.00
2019-01-25,0.00
2019-01-26,4.51
2019-01-27,18.56
2019-01-28,6.73
2019-01-29,0.00
2019-01-30,0.00
2019-01-31,6.07
2019-02-01,0.44
2019-02-02,0.00
2019-02-03,0.00
2019-02-04,0.00
2019-02-05,0.70
2019-02-06,7.68
2019-02-07,2.46
2019-02-08,0.30
2019-02-09,8.29
2019-02-10,7.48
2019-02-11,3.80
2019-02-12,15.99
2019-02-13,0.00
2019-02-14,1.15
2019-02-15,7.42
2019-02-16,6.28
2019-02-17,5.02
2019-02-18,14.70
2019-02-19,12.78
2019-02-20,20.09
2019-02-21,14.46
2019-02-22,1.86
2019-02-23,0.10
2019-02-24,0.00
2019-02-25,0.00
2019-02-26,1.12
2019-02-27,3.33
2019-02-28,0.00
2019-03-01,0.00
2019-03-02,0.00
2019-03-03,10.98
2019-03-04,13.94
2019-03-05,2.62
2019-03-06,8.23
2019-03-07,15.42
2019-03-08,0.00
2019-03-09,3.05
2019-03-10,9.22
2019-03-11,3.71
2019-03-12,2.74
2019-03-13,6.40
2019-03-14,13.00
2019-03-15,28.37
2019-03-16,5.71
2019-03-17,1.01
2019-03-18,0.94
2019-03-19,0.00
2019-03-20,0.00
2019-03-21,3.66
2019-03-22,3.07
2019-03-23,2.86
2019-03-24,15.33
2019-03-25,13.66
2019-03-26,23.17
2019-03-27,22.84
2019-03-28,4.61
2019-03-29,4.95
2019-03-30,0.00
2019-03-31,0.00
2019-04-01,0.00
2019-04-02,0.00
2019-04-03,9.49
2019-04-04,0.00
2019-04-05,0.77
2019-04-06,3.56
2019-04-07,20.15
2019-04-08,7.59
2019-04-09,4.10
2019-04-10,13.66
2019-04-11,15.10
2019-04-12,8.25
2019-04-13,6.35
2019-04-14,7.72
2019-04-15,0.00
2019-04-16,0.00
2019-04-17,0.00
2019-04-18,1.94
2019-04-19,6.75
2019-04-20,16.89
2019-04-21,0.00
2019-04-22,15.39
2019-04-23,1.26
2019-04-24,0.00
2019-04-25,5.50
2019-04-26,8.89
2019-04-27,2.95
2019-04-28,4.99
2019-04-29,15.21
2019-04-30,1.12
2019-05-01,19.96
2019-05-02,3.43
2019-05-03,0.00
2019-05-04,1.72
2019-05-05,7.78
2019-05-06,0.00
2019-05-07,7.58
2019-05-08,7.11
2019-05-09,0.00
2019-05-10,0.00
2019-05-11,0.00
2019-05-12,18.35
2019-05-13,10.42
2019-05-14,4.08
2019-05-15,0.96
2019-05-16,2.95
2019-05-17,1.10
2019-05-18,9.08
2019-05-19,6.39
2019-05-20,0.00
2019-05-21,6.64
2019-05-22,14.28
2019-05-23,3.91
2019-05-24,15.09
2019-05-25,8.04
2019-05-26,0.00
2019-05-27,0.00
2019-05-28,0.00
2019-05-29,0.00
2019-05-30,0.00
2019-05-31,0.00
2019-06-01,1.16
2019-06-02,13.16
2019-06-03,3.76
2019-06-04,23.54
2019-06-05,4.50
2019-06-06,9.65
2019-06-07,14.13
2019-06-08,6.78
2019-06-09,1.22
2019-06-10,0.00
2019-06-11,0.00
2019-06-12,0.00
2019-06-13,1.26
2019-06-14,0.00
2019-06-15,0.00
2019-06-16,4.13
2019-06-17,7.11
2019-06-18,9.69
2019-06-19,8.17
2019-06-20,0.00
2019-06-21,0.00
2019-06-22,1.99
2019-06-23,2.97
2019-06-24,9.44
2019-06-25,0.00
2019-06-26,0.00
2019-06-27,2.19
2019-06-28,10.16
2019-06-29,14.52
2019-06-30,23.48
2019-07-01,5.82
2019-07-02,1.51
2019-07-03,3.08
2019-07-04,12.99
2019-07-05,0.79
2019-07-06,11.79
2019-07-07,0.00
2019-07-08,0.00
2019-07-09,4.61
2019-07-10,14.66
2019-07-11,25.99
2019-07-12,8.41
2019-07-13,3.04
2019-07-14,3.21
2019-07-15,0.00
2019-07-16,0.00
2019-07-17,4.69
2019-07-18,8.40
2019-07-19,11.29
2019-07-20,11.84
2019-07-21,13.50
2019-07-22,13.43
2019-07-23,17.76
2019-07-24,19.17
2019-07-25,3.17
2019-07-26,2.84
2019-07-27,1.72
2019-07-28,9.20
2019-07-29,13.29
2019-07-30,0.00
2019-07-31,0.11
2019-08-01,11.53
2019-08-02,0.00
2019-08-03,0.00
2019-08-04,0.00
2019-08-05,15.96
2019-08-06,10.42
2019-08-07,1.43
2019-08-08,0.61
2019-08-09,0.00
2019-08-10,5.37
2019-08-11,0.00
2019-08-12,8.16
2019-08-13,0.00
2019-08-14,0.00
2019-08-15,0.00
2019-08-16,1.23
2019-08-17,22.31
2019-08-18,12.44
2019-08-19,10.91
2019-08-20,1.33
2019-08-21,0.00
2019-08-22,11.38
2019-08-23,10.23
2019-08-24,8.83
2019-08-25,0.00
2019-08-26,0.00
2019-08-27,0.00
2019-08-28,9.28
2019-08-29,4.73
2019-08-30,7.67
2019-08-31,13.74
2019-09-01,9.82
2019-09-02,0.00
2019-09-03,0.00
2019-09-04,0.00
2019-09-05,10.25
2019-09-06,6.94
2019-09-07,6.80
2019-09-08,6.90
2019-09-09,3.74
2019-09-10,11.66
2019-09-11,8.06
2019-09-12,0.00
2019-09-13,0.12
2019-09-14,1.89
2019-09-15,1.18
2019-09-16,7.09
2019-09-17,0.00
2019-09-18,0.00
2019-09-19,0.00
2019-09-20,0.00
2019-09-21,4.45
2019-09-22,6.72
2019-09-23,3.50
2019-09-24,16.65
2019-09-25,3.04
2019-09-26,7.89
2019-09-27,0.00
2019-09-28,0.11
2019-09-29,0.00
2019-09-30,7.28
2019-10-01,4.86
2019-10-02,0.00
2019-10-03,4.66
2019-10-04,1.82
2019-10-05,17.88
2019-10-06,8.48
2019-10-07,1.60
2019-10-08,3.47
2019-10-09,14.06
2019-10-10,0.00
2019-10-11,12.71
2019-10-12,0.00
2019-10-13,0.00
2019-10-14,0.00
2019-10-15,1.19
2019-10-16,16.28
2019-10-17,13.00
2019-10-18,8.40
2019-10-19,3.31
2019-10-20,5.29
2019-10-21,0.00
2019-10-22,0.44
2019-10-23,0.00
2019-10-24,5.43
2019-10-25,10.26
2019-10-26,0.00
2019-10-27,0.00
2019-10-28,5.83
2019-10-29,8.96
2019-10-30,14.24
2019-10-31,0.00
2019-11-01,7.34
2019-11-02,8.26
2019-11-03,12.67
2019-11-04,4.55
2019-11-05,0.00
2019-11-06,4.93
2019-11-07,0.00
2019-11-08,0.00
2019-11-09,0.00
2019-11-10,2.86
2019-11-11,0.00
2019-11-12,0.49
2019-11-13,0.69
2019-11-14,3.57
2019-11-15,0.54
2019-11-16,0.00
2019-11-17,0.00
2019-11-18,0.23
2019-11-19,13.45
2019-11-20,10.08
2019-11-21,10.47
2019-11-22,2.45
2019-11-23,2.61
2019-11-24,3.51
2019-11-25,5.09
2019-11-26,8.31
2019-11-27,1.37
2019-11-28,0.00
2019-11-29,0.00
2019-11-30,0.07
2019-12-01,3.83
2019-12-02,0.00
2019-12-03,0.65
2019-12-04,5.90
2019-12-05,9.85
2019-12-06,5.31
2019-12-07,0.00
2019-12-08,0.00
2019-12-09,11.12
2019-12-10,1.48
2019-12-11,0.75
2019-12-12,14.43
2019-12-13,7.77
2019-12-14,0.00
2019-12-15,6.17
2019-12-16,4.43
2019-12-17,7.04
2019-12-18,1.29
2019-12-19,0.00
2019-12-20,0.25
2019-12-21,0.00
2019-12-22,0.19
2019-12-23,0.00
2019-12-24,0.00
2019-12-25,3.77
2019-12-26,6.98
2019-12-27,11.87
2019-12-28,14.35
2019-12-29,2.52
2019-12-30,0.00
2019-12-31,2.12
2020-01-01,0.00
2020-01-02,0.00
2020-01-03,0.00
2020-01-04,0.00
2020-01-05,0.00
2020-01-06,0.00
2020-01-07,4.01
2020-01-08,2.61
2020-01-09,4.70
2020-01-10,9.07
2020-01-11,12.39
2020-01-12,1.40
2020-01-13,5.97
2020-01-14,0.61
2020-01-15,0.25
2020-01-16,3.62
2020-01-17,0.00
2020-01-18,0.53
2020-01-19,11.55
2020-01-20,3.79
2020-01-21,2.61
2020-01-22,6.28
2020-01-23,18.17
2020-01-24,5.07
2020-01-25,3.08
2020-01-26,0.43
2020-01-27,0.00
2020-01-28,0.00
2020-01-29,0.00
2020-01-30,0.00
2020-01-31,0.00
2020-02-01,0.00
2020-02-02,0.00
2020-02-03,0.00
2020-02-04,0.00
2020-02-05,0.00
2020-02-06,15.64
2020-02-07,0.00
2020-02-08,0.00
2020-02-09,5.78
2020-02-10,15.64
2020-02-11,0.15
2020-02-12,1.03
2020-02-13,0.00
2020-02-14,15.39
2020-02-15,4.04
2020-02-16,8.68
2020-02-17,0.00
2020-02-18,4.73
2020-02-19,2.09
2020-02-20,8.40
2020-02-21,0.33
2020-02-22,1.15
2020-02-23,0.00
2020-02-24,10.85
2020-02-25,12.88
2020-02-26,0.00
2020-02-27,8.76
2020-02-28,5.83
2020-02-29,8.11
2020-03-01,13.61
2020-03-02,7.39
2020-03-03,12.82
2020-03-04,15.99
2020-03-05,1.53
2020-03-06,5.20
2020-03-07,0.00
2020-03-08,0.00
2020-03-09,0.00
2020-03-10,0.00
2020-03-11,0.24
2020-03-12,8.82
2020-03-13,8.73
2020-03-14,1.22
2020-03-15,4.35
2020-03-16,9.34
2020-03-17,5.93
2020-03-18,5.74
2020-03-19,1.06
2020-03-20,1.02
2020-03-21,0.00
2020-03-22,0.00
2020-03-23,0.00
2020-03-24,0.00
2020-03-25,0.00
2020-03-26,0.00
2020-03-27,0.00
2020-03-28,3.57
2020-03-29,9.49
2020-03-30,11.98
2020-03-31,6.43
2020-04-01,1.70
2020-04-02,11.27
2020-04-03,0.00
2020-04-04,8.37
2020-04-05,6.42
2020-04-06,4.66
2020-04-07,0.00
2020-04-08,0.00
2020-04-09,4.41
2020-04-10,7.03
2020-04-11,3.64
2020-04-12,1.51
2020-04-13,0.00
2020-04-14,3.66
2020-04-15,6.08
2020-04-16,0.00
2020-04-17,0.00
2020-04-18,0.00
2020-04-19,3.19
2020-04-20,0.00
2020-04-21,3.09
2020-04-22,14.12
2020-04-23,2.74
2020-04-24,21.82
2020-04-25,6.94
2020-04-26,0.00
2020-04-27,1.79
2020-04-28,8.05
2020-04-29,0.00
2020-04-30,0.00
2020-05-01,5.76
2020-05-02,5.93
2020-05-03,0.00
2020-05-04,10.90
2020-05-05,11.47
2020-05-06,19.00
2020-05-07,22.79
2020-05-08,3.20
2020-05-09,0.04
2020-05-10,1.03
2020-05-11,0.00
2020-05-12,8.16
2020-05-13,9.89
2020-05-14,0.00
2020-05-15,0.00
2020-05-16,0.00
2020-05-17,0.00
2020-05-18,0.00
2020-05-19,6.83
2020-05-20,1.65
2020-05-21,10.55
2020-05-22,4.72
2020-05-23,13.44
2020-05-24,0.00
2020-05-25,0.12
2020-05-26,0.00
2020-05-27,5.03
2020-05-28,0.00
2020-05-29,10.99
2020-05-30,6.06
2020-05-31,3.11
2020-06-01,4.65
2020-06-02,7.64
2020-06-03,13.45
2020-06-04,0.00
2020-06-05,0.31
2020-06-06,0.00
2020-06-07,0.00
2020-06-08,0.00
2020-06-09,0.00
2020-06-10,0.00
2020-06-11,0.00
2020-06-12,0.00
2020-06-13,0.00
2020-06-14,0.00
2020-06-15,1.71
2020-06-16,11.36
2020-06-17,9.67
2020-06-18,20.08
2020-06-19,21.21
2020-06-20,7.73
2020-06-21,8.82
2020-06-22,11.43
2020-06-23,4.26
2020-06-24,6.80
2020-06-25,0.00
2020-06-26,0.00
2020-06-27,4.45
2020-06-28,13.39
2020-06-29,0.26
2020-06-30,4.12
2020-07-01,6.22
2020-07-02,11.71
2020-07-03,3.92
2020-07-04,4.46
2020-07-05,0.00
2020-07-06,10.72
2020-07-07,5.49
2020-07-08,6.31
2020-07-09,13.81
2020-07-10,12.37
2020-07-11,6.15
2020-07-12,6.66
2020-07-13,9.72
2020-07-14,0.00
2020-07-15,0.00
2020-07-16,0.00
2020-07-17,0.00
2020-07-18,0.00
2020-07-19,0.00
2020-07-20,0.00
2020-07-21,0.00
2020-07-22,1.36
2020-07-23,5.43
2020-07-24,12.47
2020-07-25,19.51
2020-07-26,2.62
2020-07-27,15.90
2020-07-28,9.30
2020-07-29,3.19
2020-07-30,10.13
2020-07-31,9.44
2020-08-01,0.00
2020-08-02,0.00
2020-08-03,0.00
2020-08-04,0.00
2020-08-05,0.00
2020-08-06,0.00
2020-08-07,0.00
2020-08-08,0.00
2020-08-09,0.00
2020-08-10,4.33
2020-08-11,0.00
2020-08-12,0.00
2020-08-13,0.00
2020-08-14,1.04
2020-08-15,3.53
2020-08-16,4.16
2020-08-17,0.00
2020-08-18,0.00
2020-08-19,0.00
2020-08-20,0.00
2020-08-21,0.00
2020-08-22,0.00
2020-08-23,0.00
2020-08-24,11.58
2020-08-25,8.48
2020-08-26,2.58
2020-08-27,0.00
2020-08-28,17.97
2020-08-29,17.22
2020-08-30,1.82
2020-08-31,0.00
2020-09-01,2.33
2020-09-02,10.51
2020-09-03,10.81
2020-09-04,0.00
2020-09-05,0.00
2020-09-06,0.00
2020-09-07,0.00
2020-09-08,10.63
2020-09-09,19.22
2020-09-10,6.06
2020-09-11,8.58
2020-09-12,11.88
2020-09-13,14.20
2020-09-14,0.00
2020-09-15,0.00
2020-09-16,0.00
2020-09-17,0.00
2020-09-18,0.00
2020-09-19,0.00
2020-09-20,0.00
2020-09-21,4.12
2020-09-22,10.62
2020-09-23,7.55
2020-09-24,7.65
2020-09-25,20.26
2020-09-26,7.34
2020-09-27,5.54
2020-09-28,2.57
2020-09-29,0.00
2020-09-30,0.00
2020-10-01,0.00
2020-10-02,0.00
2020-10-03,0.00
2020-10-04,3.30
2020-10-05,14.02
2020-10-06,11.07
2020-10-07,8.65
2020-10-08,5.09
2020-10-09,5.27
2020-10-10,8.94
2020-10-11,10.52
2020-10-12,0.00
2020-10-13,8.86
2020-10-14,13.54
2020-10-15,3.87
2020-10-16,8.82
2020-10-17,0.00
2020-10-18,12.05
2020-10-19,0.00
2020-10-20,2.48
2020-10-21,14.31
2020-10-22,11.57
2020-10-23,13.97
2020-10-24,9.07
2020-10-25,9.85
2020-10-26,5.23
2020-10-27,12.17
2020-10-28,1.79
2020-10-29,0.00
2020-10-30,0.00
2020-10-31,3.73
2020-11-01,6.80
2020-11-02,13.28
2020-11-03,11.55
2020-11-04,0.00
2020-11-05,3.69
2020-11-06,12.37
2020-11-07,11.86
2020-11-08,0.00
2020-11-09,0.00
2020-11-10,0.86
2020-11-11,2.93
2020-11-12,0.00
2020-11-13,2.65
2020-11-14,16.68
2020-11-15,0.00
2020-11-16,0.00
2020-11-17,5.92
2020-11-18,2.58
2020-11-19,3.79
2020-11-20,5.86
2020-11-21,0.00
2020-11-22,11.44
2020-11-23,0.00
2020-11-24,0.00
2020-11-25,0.00
2020-11-26,0.00
2020-11-27,0.00
2020-11-28,0.00
2020-11-29,0.00
2020-11-30,0.00
2020-12-01,0.00
2020-12-02,0.00
2020-12-03,5.31
2020-12-04,0.23
2020-12-05,3.20
2020-12-06,0.00
2020-12-07,8.95
2020-12-08,0.09
2020-12-09,2.07
2020-12-10,13.40
2020-12-11,0.76
2020-12-12,2.10
2020-12-13,0.00
2020-12-14,3.99
2020-12-15,1.12
2020-12-16,6.61
2020-12-17,3.32
2020-12-18,0.00
2020-12-19,3.58
2020-12-20,3.85
2020-12-21,12.52
2020-12-22,5.86
2020-12-23,5.70
2020-12-24,1.50
2020-12-25,0.00
2020-12-26,0.17
2020-12-27,0.00
2020-12-28,0.00
2020-12-29,0.00
2020-12-30,0.00
2020-12-31,0.00
2021-01-01,0.00
2021-01-02,0.00
2021-01-03,0.00
2021-01-04,3.88
2021-01-05,11.27
2021-01-06,8.05
2021-01-07,5.57
2021-01-08,1.60
2021-01-09,13.20
2021-01-10,0.00
2021-01-11,0.00
2021-01-12,0.20
2021-01-13,6.72
2021-01-14,1.57
2021-01-15,0.00
2021-01-16,0.00
2021-01-17,9.09
2021-01-18,14.64
2021-01-19,7.56
2021-01-20,0.00
2021-01-21,0.00
2021-01-22,9.09
2021-01-23,16.16
2021-01-24,5.44
2021-01-25,0.15
2021-01-26,8.48
2021-01-27,7.08
2021-01-28,0.00
2021-01-29,0.00
2021-01-30,0.00
2021-01-31,10.65
2021-02-01,15.85
2021-02-02,0.00
2021-02-03,7.81
2021-02-04,0.00
2021-02-05,4.54
2021-02-06,8.60
2021-02-07,0.00
