Date, Waste 
2018-08-23,0.00
2018-08-24,7.33
2018-08-25,14.82
2018-08-26,15.79
2018-08-27,8.31
2018-08-28,7.84
2018-08-29,4.33
2018-08-30,0.29
2018-08-31,1.85
2018-09-01,2.18
2018-09-02,0.35
2018-09-03,1.23
2018-09-04,19.57
2018-09-05,0.00
2018-09-06,6.45
2018-09-07,7.98
2018-09-08,4.58
2018-09-09,18.92
2018-09-10,4.99
2018-09-11,4.28
2018-09-12,8.22
2018-09-13,3.07
2018-09-14,1.39
2018-09-15,0.00
2018-09-16,3.45
2018-09-17,3.16
2018-09-18,13.17
2018-09-19,11.88
2018-09-20,10.92
2018-09-21,0.42
2018-09-22,9.94
2018-09-23,2.34
2018-09-24,0.00
2018-09-25,2.97
2018-09-26,3.86
2018-09-27,0.00
2018-09-28,0.00
2018-09-29,1.00
2018-09-30,12.91
2018-10-01,17.67
2018-10-02,17.24
2018-10-03,3.13
2018-10-04,0.00
2018-10-05,4.46
2018-10-06,9.58
2018-10-07,6.25
2018-10-08,0.00
2018-10-09,0.00
2018-10-10,10.39
2018-10-11,8.12
2018-10-12,12.13
2018-10-13,10.71
2018-10-14,5.75
2018-10-15,12.34
2018-10-16,10.23
2018-10-17,0.00
2018-10-18,0.00
2018-10-19,0.00
2018-10-20,7.93
2018-10-21,9.20
2018-10-22,18.67
2018-10-23,13.04
2018-10-24,8.59
2018-10-25,8.77
2018-10-26,2.00
2018-10-27,1.55
2018-10-28,0.00
2018-10-29,0.00
2018-10-30,0.00
2018-10-31,0.00
2018-11-01,0.00
2018-11-02,0.00
2018-11-03,0.00
2018-11-04,16.51
2018-11-05,13.02
2018-11-06,4.16
2018-11-07,6.81
2018-11-08,0.00
2018-11-09,17.37
2018-11-10,0.00
2018-11-11,14.93
2018-11-12,0.00
2018-11-13,0.00
2018-11-14,0.00
2018-11-15,2.36
2018-11-16,20.77
2018-11-17,13.35
2018-11-18,7.65
2018-11-19,5.83
2018-11-20,9.65
2018-11-21,7.73
2018-11-22,1.69
2018-11-23,14.88
2018-11-24,15.14
2018-11-25,6.32
2018-11-26,1.53
2018-11-27,5.44
2018-11-28,5.67
2018-11-29,4.87
2018-11-30,3.20
2018-12-01,1.91
2018-12-02,1.05
2018-12-03,2.86
2018-12-04,5.11
2018-12-05,0.00
2018-12-06,9.20
2018-12-07,7.91
2018-12-08,14.22
2018-12-09,13.76
2018-12-10,24.87
2018-12-11,0.98
2018-12-12,3.10
2018-12-13,3.81
2018-12-14,2.58
2018-12-15,3.94
2018-12-16,0.81
2018-12-17,4.75
2018-12-18,1.66
2018-12-19,2.72
2018-12-20,14.60
2018-12-21,1.69
2018-12-22,27.50
2018-12-23,13.29
2018-12-24,5.71
2018-12-25,3.00
2018-12-26,0.00
2018-12-27,2.87
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,0.00
2018-12-31,0.00
2019-01-01,7.81
2019-01-02,7.06
2019-01-03,15.18
2019-01-04,10.08
2019-01-05,13.07
2019-01-06,1.97
2019-01-07,8.35
2019-01-08,0.00
2019-01-09,0.00
2019-01-10,0.00
2019-01-11,0.00
2019-01-12,0.00
2019-01-13,0.00
2019-01-14,0.00
2019-01-15,24.36
2019-01-16,9.07
2019-01-17,4.79
2019-01-18,11.40
2019-01-19,1.59
2019-01-20,12.01
2019-01-21,0.00
2019-01-22,2.47
2019-01-23,0.00
2019-01-24,0.00
2019-01-25,0.00
2019-01-26,1.91
2019-01-27,5.37
2019-01-28,10.51
2019-01-29,0.00
2019-01-30,0.00
2019-01-31,6.07
2019-02-01,2.77
2019-02-02,0.77
2019-02-03,0.54
2019-02-04,0.07
2019-02-05,0.00
2019-02-06,2.43
2019-02-07,0.00
2019-02-08,0.00
2019-02-09,0.00
2019-02-10,8.06
2019-02-11,4.31
2019-02-12,17.71
2019-02-13,0.27
2019-02-14,0.00
2019-02-15,1.44
2019-02-16,4.48
2019-02-17,6.45
2019-02-18,12.85
2019-02-19,0.00
2019-02-20,11.57
2019-02-21,22.60
2019-02-22,5.01
2019-02-23,2.39
2019-02-24,0.43
2019-02-25,0.23
2019-02-26,0.00
2019-02-27,0.00
2019-02-28,0.00
2019-03-01,0.00
2019-03-02,0.00
2019-03-03,0.00
2019-03-04,2.51
2019-03-05,8.20
2019-03-06,5.67
2019-03-07,16.83
2019-03-08,0.00
2019-03-09,5.42
2019-03-10,10.55
2019-03-11,2.09
2019-03-12,0.54
2019-03-13,1.79
2019-03-14,6.38
2019-03-15,17.05
2019-03-16,3.62
2019-03-17,7.01
2019-03-18,4.57
2019-03-19,1.32
2019-03-20,0.76
2019-03-21,0.00
2019-03-22,3.95
2019-03-23,3.41
2019-03-24,12.22
2019-03-25,8.75
2019-03-26,10.41
2019-03-27,10.23
2019-03-28,10.10
2019-03-29,9.08
2019-03-30,3.69
2019-03-31,0.38
2019-04-01,2.24
2019-04-02,2.51
2019-04-03,9.52
2019-04-04,0.00
2019-04-05,0.00
2019-04-06,0.00
2019-04-07,0.00
2019-04-08,0.00
2019-04-09,4.81
2019-04-10,17.90
2019-04-11,19.13
2019-04-12,7.83
2019-04-13,8.53
2019-04-14,6.89
2019-04-15,0.00
2019-04-16,0.00
2019-04-17,0.00
2019-04-18,0.00
2019-04-19,0.00
2019-04-20,0.00
2019-04-21,0.56
2019-04-22,16.68
2019-04-23,1.84
2019-04-24,0.14
2019-04-25,6.15
2019-04-26,12.00
2019-04-27,3.26
2019-04-28,3.46
2019-04-29,13.30
2019-04-30,0.00
2019-05-01,0.53
2019-05-02,0.00
2019-05-03,0.00
2019-05-04,3.26
2019-05-05,6.02
2019-05-06,1.96
2019-05-07,15.67
