Date, node, time since harvest, inventory quantity 
2018-08-31,supplier,6,9.58
2018-08-31,supplier,5,7.66
2018-08-31,supplier,4,25.21
2018-08-31,supplier,3,14.38
2018-08-31,supplier,2,8.17
2018-08-31,supplier,1,0.00
2018-08-31,supplier,0,0.00
2018-08-31,retailer,9,0.00
2018-08-31,retailer,8,15.17
2018-08-31,retailer,7,0.00
2018-08-31,retailer,6,0.00
2018-08-31,retailer,5,0.00
2018-08-31,retailer,4,0.00
2018-08-31,retailer,3,0.00
2018-08-31,retailer,2,0.00
2018-08-31,retailer,1,0.00
2018-08-31,retailer,0,0.00
2018-09-01,supplier,9,2.59
2018-09-01,supplier,8,3.25
2018-09-01,supplier,7,9.58
2018-09-01,supplier,6,7.66
2018-09-01,supplier,5,4.33
2018-09-01,supplier,4,18.59
2018-09-01,supplier,3,11.31
2018-09-01,supplier,2,7.05
2018-09-01,supplier,1,0.00
2018-09-01,supplier,0,0.00
2018-09-01,retailer,9,5.43
2018-09-01,retailer,8,15.56
2018-09-01,retailer,7,0.00
2018-09-01,retailer,6,0.00
2018-09-01,retailer,5,0.00
2018-09-01,retailer,4,0.00
2018-09-01,retailer,3,0.00
2018-09-01,retailer,2,0.00
2018-09-01,retailer,1,0.00
2018-09-01,retailer,0,0.00
2018-09-02,supplier,9,3.25
2018-09-02,supplier,8,9.58
2018-09-02,supplier,7,7.66
2018-09-02,supplier,6,4.33
2018-09-02,supplier,5,5.51
2018-09-02,supplier,4,14.43
2018-09-02,supplier,3,10.42
2018-09-02,supplier,2,6.86
2018-09-02,supplier,1,0.00
2018-09-02,supplier,0,0.00
2018-09-02,retailer,9,0.00
2018-09-02,retailer,8,13.74
2018-09-02,retailer,7,0.00
2018-09-02,retailer,6,0.00
2018-09-02,retailer,5,0.00
2018-09-02,retailer,4,0.00
2018-09-02,retailer,3,0.00
2018-09-02,retailer,2,0.00
2018-09-02,retailer,1,0.00
2018-09-02,retailer,0,0.00
2018-09-03,supplier,9,9.58
2018-09-03,supplier,8,7.66
2018-09-03,supplier,7,4.33
2018-09-03,supplier,6,5.51
2018-09-03,supplier,5,0.00
2018-09-03,supplier,4,9.13
2018-09-03,supplier,3,11.37
2018-09-03,supplier,2,10.25
2018-09-03,supplier,1,0.00
2018-09-03,supplier,0,0.00
2018-09-03,retailer,9,13.74
2018-09-03,retailer,8,13.30
2018-09-03,retailer,7,0.00
2018-09-03,retailer,6,0.00
2018-09-03,retailer,5,0.00
2018-09-03,retailer,4,0.00
2018-09-03,retailer,3,0.00
2018-09-03,retailer,2,0.00
2018-09-03,retailer,1,0.00
2018-09-03,retailer,0,0.00
2018-09-04,supplier,9,7.66
2018-09-04,supplier,8,4.33
2018-09-04,supplier,7,5.51
2018-09-04,supplier,6,0.00
2018-09-04,supplier,5,3.55
2018-09-04,supplier,4,18.05
2018-09-04,supplier,3,15.86
2018-09-04,supplier,2,8.46
2018-09-04,supplier,1,0.00
2018-09-04,supplier,0,0.00
2018-09-04,retailer,9,13.30
2018-09-04,retailer,8,19.77
2018-09-04,retailer,7,0.00
2018-09-04,retailer,6,0.00
2018-09-04,retailer,5,0.00
2018-09-04,retailer,4,0.00
