Date, node, time since harvest, inventory quantity 
2018-08-31,supplier,6,0.00
2018-08-31,supplier,5,4.40
2018-08-31,supplier,4,2.73
2018-08-31,supplier,3,5.26
2018-08-31,supplier,2,0.00
2018-08-31,supplier,1,0.00
2018-08-31,supplier,0,0.00
2018-08-31,retailer,9,0.00
2018-08-31,retailer,8,2.83
2018-08-31,retailer,7,2.31
2018-08-31,retailer,6,3.84
2018-08-31,retailer,5,0.00
2018-08-31,retailer,4,0.00
2018-08-31,retailer,3,0.00
2018-08-31,retailer,2,0.00
2018-08-31,retailer,1,0.00
2018-08-31,retailer,0,0.00
2018-09-01,supplier,9,0.00
2018-09-01,supplier,8,0.00
2018-09-01,supplier,7,0.00
2018-09-01,supplier,6,0.00
2018-09-01,supplier,5,2.32
2018-09-01,supplier,4,2.52
2018-09-01,supplier,3,6.06
2018-09-01,supplier,2,0.00
2018-09-01,supplier,1,0.00
2018-09-01,supplier,0,0.00
2018-09-01,retailer,9,0.00
2018-09-01,retailer,8,0.78
2018-09-01,retailer,7,0.55
2018-09-01,retailer,6,1.37
2018-09-01,retailer,5,0.00
2018-09-01,retailer,4,0.00
2018-09-01,retailer,3,0.00
2018-09-01,retailer,2,0.00
2018-09-01,retailer,1,0.00
2018-09-01,retailer,0,0.00
2018-09-02,supplier,9,0.00
2018-09-02,supplier,8,0.00
2018-09-02,supplier,7,0.00
2018-09-02,supplier,6,0.00
2018-09-02,supplier,5,2.34
2018-09-02,supplier,4,2.30
2018-09-02,supplier,3,5.39
2018-09-02,supplier,2,0.00
2018-09-02,supplier,1,0.00
2018-09-02,supplier,0,0.00
2018-09-02,retailer,9,0.00
2018-09-02,retailer,8,1.16
2018-09-02,retailer,7,1.34
2018-09-02,retailer,6,2.14
2018-09-02,retailer,5,0.00
2018-09-02,retailer,4,0.00
2018-09-02,retailer,3,0.00
2018-09-02,retailer,2,0.00
2018-09-02,retailer,1,0.00
2018-09-02,retailer,0,0.00
2018-09-03,supplier,9,0.00
2018-09-03,supplier,8,0.00
2018-09-03,supplier,7,0.00
2018-09-03,supplier,6,0.00
2018-09-03,supplier,5,3.62
2018-09-03,supplier,4,4.52
2018-09-03,supplier,3,7.99
2018-09-03,supplier,2,0.00
2018-09-03,supplier,1,0.00
