Date, node, time since harvest, inventory quantity 
2018-08-23,supplier,9,0.00
2018-08-23,supplier,8,0.00
2018-08-23,supplier,7,0.00
2018-08-23,supplier,6,0.00
2018-08-23,supplier,5,1.19
2018-08-23,supplier,4,1.41
2018-08-23,supplier,3,2.61
2018-08-23,supplier,2,0.00
2018-08-23,supplier,1,0.00
2018-08-23,supplier,0,0.00
2018-08-23,retailer,9,0.00
2018-08-23,retailer,8,1.37
2018-08-23,retailer,7,1.45
2018-08-23,retailer,6,4.15
2018-08-23,retailer,5,0.00
2018-08-23,retailer,4,0.00
2018-08-23,retailer,3,0.00
2018-08-23,retailer,2,0.00
2018-08-23,retailer,1,0.00
2018-08-23,retailer,0,0.00
2018-08-24,supplier,9,0.00
2018-08-24,supplier,8,0.00
2018-08-24,supplier,7,0.00
2018-08-24,supplier,6,0.00
2018-08-24,supplier,5,0.83
2018-08-24,supplier,4,0.56
2018-08-24,supplier,3,0.98
2018-08-24,supplier,2,0.00
2018-08-24,supplier,1,0.00
2018-08-24,supplier,0,0.00
2018-08-24,retailer,9,0.00
2018-08-24,retailer,8,1.95
2018-08-24,retailer,7,2.20
2018-08-24,retailer,6,5.29
2018-08-24,retailer,5,0.00
2018-08-24,retailer,4,0.00
2018-08-24,retailer,3,0.00
2018-08-24,retailer,2,0.00
2018-08-24,retailer,1,0.00
2018-08-24,retailer,0,0.00
2018-08-25,supplier,9,0.00
2018-08-25,supplier,8,0.00
2018-08-25,supplier,7,0.00
2018-08-25,supplier,6,0.00
2018-08-25,supplier,5,2.38
2018-08-25,supplier,4,2.11
2018-08-25,supplier,3,5.43
2018-08-25,supplier,2,0.00
2018-08-25,supplier,1,0.00
2018-08-25,supplier,0,0.00
2018-08-25,retailer,9,1.95
2018-08-25,retailer,8,3.24
2018-08-25,retailer,7,7.38
2018-08-25,retailer,6,4.62
2018-08-25,retailer,5,0.00
2018-08-25,retailer,4,0.00
2018-08-25,retailer,3,0.00
2018-08-25,retailer,2,0.00
2018-08-25,retailer,1,0.00
