2018-08-20,12.127904000707842
2018-08-21,5.756303589758314
2018-08-22,5.832039982470326
2018-08-23,3.59545948815254
2018-08-24,3.5430421281095494
2018-08-25,3.4245326959416404
2018-08-26,3.156517623796442
2018-08-27,2.8058974202871143
2018-08-28,2.3297991924803316
2018-08-29,3.3368851956183314
2018-08-30,2.445681585812852
2018-08-31,2.6212307335038534
2018-09-01,3.3208692592374147
2018-09-02,2.3574717413733697
2018-09-03,2.7959878890895284
2018-09-04,2.338742650146458
2018-09-05,2.394623165593976
2018-09-06,2.420105006163696
2018-09-07,2.74355360675623
2018-09-08,3.0882210797198675
2018-09-09,2.4371120709609886
2018-09-10,2.3741629196636946
2018-09-11,2.3997563383294875
2018-09-12,2.2520794833437394
2018-09-13,2.7246792252400978
2018-09-14,2.6246706258212087
2018-09-15,2.000549943308952
2018-09-16,1.8991359096195686
2018-09-17,2.3892860828247757
2018-09-18,2.415488118920716
2018-09-19,3.1201746172128657
2018-09-20,2.6626713957405133
2018-09-21,2.699610348854404
